cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,lrscale,ctzcntr,gndr,agea,edulvla,tporgwk,hinctnt,hinctnta,regiongb,wrywprb,jbprtfp,stfjb,plnftr
GB,ESS1-9e01,1.0,10.12.2020,183668,ESS1e06_6,1,6.6,100102,0.5256,0.972790578383205,2.32684152046784,2.26352950850196,3,1,1,32,5,,10,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183669,ESS1e06_6,1,6.6,100104,1.0512,1.6558006202316,2.32684152046784,3.85278563277129,5,1,2,19,2,,88,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183670,ESS1e06_6,1,6.6,100106,0.5256,0.889285746816152,2.32684152046784,2.06922699925207,6,1,2,64,1,,4,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183671,ESS1e06_6,1,6.6,100110,1.0512,1.94558115676641,2.32684152046784,4.52705901700394,7,1,1,28,5,,10,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183672,ESS1e06_6,1,6.6,100112,1.0512,1.6558006202316,2.32684152046784,3.85278563277129,5,1,2,29,5,,10,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183673,ESS1e06_6,1,6.6,100114,0.5256,0.889285746816152,2.32684152046784,2.06922699925207,5,1,2,65,1,,77,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183674,ESS1e06_6,1,6.6,100115,1.0512,1.6558006202316,2.32684152046784,3.85278563277129,8,1,2,30,5,,12,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183675,ESS1e06_6,1,6.6,100117,1.0512,1.54307024364017,2.32684152046784,3.59047991190036,5,1,2,35,1,,8,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183676,ESS1e06_6,1,6.6,100118,1.0512,1.43267118142759,2.32684152046784,3.33359879012343,88,1,1,82,1,,4,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183677,ESS1e06_6,1,6.6,100119,1.0512,1.43267118142759,2.32684152046784,3.33359879012343,3,1,1,55,5,,77,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183678,ESS1e06_6,1,6.6,100122,1.0512,1.63227123122975,2.32684152046784,3.79803647349055,0,1,1,54,1,,7,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183679,ESS1e06_6,1,6.6,100124,0.5256,0.771535121820085,2.32684152046784,1.79523995595018,88,1,2,39,1,,4,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183680,ESS1e06_6,1,6.6,100205,0.5256,0.972790578383205,2.32684152046784,2.26352950850196,5,1,1,29,2,,8,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183681,ESS1e06_6,1,6.6,100206,1.5768,2.48370093034741,2.32684152046784,5.77917844915694,1,1,2,26,5,,9,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183682,ESS1e06_6,1,6.6,100207,0.5256,0.972790578383205,2.32684152046784,2.26352950850196,5,1,1,18,3,,88,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183683,ESS1e06_6,1,6.6,100211,1.0512,1.7785714936323,2.32684152046784,4.13845399850413,8,1,2,71,1,,8,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183684,ESS1e06_6,1,6.6,100215,1.0512,1.63227123122975,2.32684152046784,3.79803647349055,5,2,1,45,5,,10,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183685,ESS1e06_6,1,6.6,100216,1.5768,2.31460536546025,2.32684152046784,5.38571986785054,4,1,2,52,5,,12,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183686,ESS1e06_6,1,6.6,100217,0.5256,0.889285746816152,2.32684152046784,2.06922699925207,5,1,2,68,3,,4,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183687,ESS1e06_6,1,6.6,100219,1.0512,1.6558006202316,2.32684152046784,3.85278563277129,0,1,2,33,5,,9,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183688,ESS1e06_6,1,6.6,100220,1.5768,2.31460536546025,2.32684152046784,5.38571986785054,8,1,2,51,5,,10,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183689,ESS1e06_6,1,6.6,100221,0.5256,0.771535121820085,2.32684152046784,1.79523995595018,5,1,2,43,1,,3,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183690,ESS1e06_6,1,6.6,100301,0.5256,0.827900310115802,2.32684152046784,1.92639281638565,4,1,2,34,5,,1,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183691,ESS1e06_6,1,6.6,100302,0.5256,0.972790578383205,2.32684152046784,2.26352950850196,3,1,1,31,5,,77,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183692,ESS1e06_6,1,6.6,100304,1.0512,1.63227123122975,2.32684152046784,3.79803647349055,5,1,1,49,1,,9,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183693,ESS1e06_6,1,6.6,100305,0.5256,0.816135615614877,2.32684152046784,1.89901823674527,5,2,1,48,5,,6,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183694,ESS1e06_6,1,6.6,100310,0.5256,0.816135615614877,2.32684152046784,1.89901823674527,6,1,1,53,1,,1,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183695,ESS1e06_6,1,6.6,100313,0.5256,0.808262220339938,2.32684152046784,1.88069809371249,88,1,2,999,99,,77,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183696,ESS1e06_6,1,6.6,100314,1.0512,1.6558006202316,2.32684152046784,3.85278563277129,5,2,2,32,3,,6,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183697,ESS1e06_6,1,6.6,100317,0.5256,0.827900310115802,2.32684152046784,1.92639281638565,4,1,2,24,5,,77,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183698,ESS1e06_6,1,6.6,100320,0.5256,0.771535121820085,2.32684152046784,1.79523995595018,2,1,2,39,5,,9,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183699,ESS1e06_6,1,6.6,100322,1.0512,1.94558115676641,2.32684152046784,4.52705901700394,5,1,1,16,2,,88,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183700,ESS1e06_6,1,6.6,100324,1.0512,1.43267118142759,2.32684152046784,3.33359879012343,5,1,1,66,5,,77,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183701,ESS1e06_6,1,6.6,100401,1.5768,2.14900677214139,2.32684152046784,5.00039818518514,5,1,1,69,5,,88,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183702,ESS1e06_6,1,6.6,100405,0.5256,0.972790578383205,2.32684152046784,2.26352950850196,6,1,1,25,5,,9,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183703,ESS1e06_6,1,6.6,100411,1.0512,1.63227123122975,2.32684152046784,3.79803647349055,3,1,1,37,5,,12,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183704,ESS1e06_6,1,6.6,100413,0.5256,0.889285746816152,2.32684152046784,2.06922699925207,6,1,2,67,1,,4,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183705,ESS1e06_6,1,6.6,100415,0.5256,0.771535121820085,2.32684152046784,1.79523995595018,4,1,2,36,5,,8,,8,,,,
